"site","treatment","chamber","date","days.post.fert","mean_flux","median_flux","lowb","upb","original_slope","adj.r2","mins_max","num_obs_total","num_obs_below_det"
"T15","160","A","19/02/17",5,0.853164808474586,0.853164808474586,NA,NA,175.476842108854,0.99601381915899,4,19,19
"T15","160","B","2/3/2017",16,2.64768561562229,2.64768561562229,NA,NA,544.569473695393,0.99245049236716,4,19,19
"T15","160","B","8/3/2017",22,0.0484355515345183,0.0484355515345183,NA,NA,9.96210526342998,0.96081733261686,4,19,13
"T15","160","B","17/02/17",3,0.080186836584617,0.080186836584617,NA,NA,16.4926315792671,0.984597744685949,4,19,19
"T15","160","B","16/03/17",30,0.00502063356455017,0.00502063356455017,NA,NA,1.03263157896558,0.331829086610932,4,19,4
"T15","160","B","19/02/17",5,0.939805283107239,0.939805283107239,NA,NA,193.296842109244,0.995358261766666,4,19,19
"T15","160","C","2/3/2017",16,5.88684894958385,5.88684894958385,NA,NA,1210.79263160392,0.973984601683694,4,19,19
"T15","160","C","8/3/2017",22,0.494524729299504,0.494524729299504,NA,NA,101.712631580956,0.990032746003676,4,19,19
"T15","160","C","17/02/17",3,0.0467568891389359,0.0467568891389359,NA,NA,9.61684210534176,0.214949114640036,4,19,18
"T15","160","C","16/03/17",30,0.0776432536270621,0.0776432536270621,NA,NA,15.9694736845671,0.983251856409309,4,19,19
"T15","160","C","19/02/17",5,0.606565208398008,0.606565208398008,NA,NA,124.756842107783,0.997010845672431,4,19,19
"T15","160","D","2/3/2017",16,0.504612057287119,0.504612057287119,NA,NA,103.787368423124,0.988320858819013,4,19,19
"T15","160","D","8/3/2017",22,0.00858267328012845,0.00858267328012845,NA,NA,1.76526315793748,0.635254218608369,4,19,6
"T15","160","D","16/03/17",30,0.073866263238806,0.073866263238806,NA,NA,15.1926315792397,0.994703670215749,4,19,19
"T15","160","D","19/02/17",5,1.03792002935248,1.03792002935248,NA,NA,213.476842109723,0.995165182404289,4,19,19
"T15","160","E","2/3/2017",16,0.234818256074992,0.234818256074992,NA,NA,48.2968421062988,0.995550636403129,4,19,19
"T15","160","E","8/3/2017",22,0.017283057642557,0.017283057642557,NA,NA,3.55473684213915,0.874727526325386,4,19,11
"T15","160","E","16/03/17",30,0.00852125880227312,0.00852125880227312,NA,NA,1.75263157898958,0.828064265359101,4,19,19
"T15","160","E","19/02/17",5,0.646832634378106,0.646832634378106,NA,NA,133.038947371212,0.996046542330373,4,19,19
"T15","160","A","16/02/17",2,0.00625915886774077,0.00625915886774077,NA,NA,1.28736842103526,0.0560226734296057,4,19,19
"T15","160","B","16/02/17",2,0.0521204202049781,0.0521204202049781,NA,NA,10.7200000001272,0.94438879738644,4,19,19
"T15","160","C","16/02/17",2,0.00951412619419593,0.00951412619419593,NA,NA,1.95684210529924,0.116471335562678,4,19,19
